[Sep 18 10:24:48.361]  INFO app: Start server_ip=154.12.235.41
[Sep 18 10:26:53.946]  INFO app: Found new nft-collection-act ticket collection_act_txid=d0128a4e64e369b65ae599166120d488ccd2f76a6f7b86b38ce9b3600e2f13cb collection_reg_txid=5cb30f2f2b41967c45d747f71a73cf94542db7907c5bee357265b821e71d0ee1 server_ip=154.12.235.41
[Sep 18 10:26:53.948]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=5cb30f2f2b41967c45d747f71a73cf94542db7907c5bee357265b821e71d0ee1 server_ip=154.12.235.41
[Sep 18 10:26:54.048]  INFO app: Received reg tickets for cleanup block-height=1 reg_tickets_count=40 server_ip=154.12.235.41
[Sep 18 10:26:54.050]  INFO app: cleaning up reg ticket current block=345056 reg-block-height=1 reg_txid=743d7f4e1bdb53ff55a13ebf85d7c960f21c49b26e28e1df9179242fcaedb2a3 server_ip=154.12.235.41 ticket-height=117746
[Sep 18 10:26:54.395]  INFO app: collection already exist in database, skipping collection_reg_txid=5cb30f2f2b41967c45d747f71a73cf94542db7907c5bee357265b821e71d0ee1 server_ip=154.12.235.41
[Sep 18 10:26:54.395]  INFO app: Found new nft-collection-act ticket collection_act_txid=3bbd28d8422198a1ab4147d82872171dda6436bb05143ef19886b52845cf79d4 collection_reg_txid=dcfe8d26538822d774bbaf26cf6eaba6349129429d642ca74e2781bf1695771e server_ip=154.12.235.41
[Sep 18 10:26:54.397]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=dcfe8d26538822d774bbaf26cf6eaba6349129429d642ca74e2781bf1695771e server_ip=154.12.235.41
[Sep 18 10:26:54.397]  INFO app: collection already exist in database, skipping collection_reg_txid=dcfe8d26538822d774bbaf26cf6eaba6349129429d642ca74e2781bf1695771e server_ip=154.12.235.41
[Sep 18 10:26:54.397]  INFO app: Found new nft-collection-act ticket collection_act_txid=edd0fd584f4fc6677fce96e16a8131def05843d63ab0faf8f730c4ceecaf1178 collection_reg_txid=26361c4e6cf768e991dee74f965efaa2717fdf2b195bf1aef2cc58b31857dff6 server_ip=154.12.235.41
[Sep 18 10:26:54.398]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=26361c4e6cf768e991dee74f965efaa2717fdf2b195bf1aef2cc58b31857dff6 server_ip=154.12.235.41
[Sep 18 10:26:54.398]  INFO app: collection already exist in database, skipping collection_reg_txid=26361c4e6cf768e991dee74f965efaa2717fdf2b195bf1aef2cc58b31857dff6 server_ip=154.12.235.41
[Sep 18 10:26:54.398]  INFO app: Found new nft-collection-act ticket collection_act_txid=42c150de5f9c5c6f88ecfb28f18722c39ef0830830e10a81e59d5dc011f32b5c collection_reg_txid=1eaf0ec82cec0a73a7367db74952135f913ac20577fa5089a3b891b8a4ed13d5 server_ip=154.12.235.41
[Sep 18 10:26:54.400]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=1eaf0ec82cec0a73a7367db74952135f913ac20577fa5089a3b891b8a4ed13d5 server_ip=154.12.235.41
[Sep 18 10:26:54.400]  INFO app: collection already exist in database, skipping collection_reg_txid=1eaf0ec82cec0a73a7367db74952135f913ac20577fa5089a3b891b8a4ed13d5 server_ip=154.12.235.41
[Sep 18 10:26:54.400]  INFO app: Found new nft-collection-act ticket collection_act_txid=86a94a772ce618cb7863635b05ea04a277ee6465a90a1f195830b6029d56c365 collection_reg_txid=a48d95eee68703253695c36291785ca741c85809205a7ae243d11d523b19cbea server_ip=154.12.235.41
[Sep 18 10:26:54.401]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=a48d95eee68703253695c36291785ca741c85809205a7ae243d11d523b19cbea server_ip=154.12.235.41
[Sep 18 10:26:54.401]  INFO app: collection already exist in database, skipping collection_reg_txid=a48d95eee68703253695c36291785ca741c85809205a7ae243d11d523b19cbea server_ip=154.12.235.41
[Sep 18 10:26:54.401]  INFO app: Found new nft-collection-act ticket collection_act_txid=f135025030b8731c6281bd3312e647e56dac43b6d54b8c16e2268c54da3ffcbc collection_reg_txid=8706d4423ae989e16da7a20ed583b1aac7208ceec954797a3591b50ab99e24a2 server_ip=154.12.235.41
[Sep 18 10:26:54.402]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=8706d4423ae989e16da7a20ed583b1aac7208ceec954797a3591b50ab99e24a2 server_ip=154.12.235.41
[Sep 18 10:26:54.402]  INFO app: collection already exist in database, skipping collection_reg_txid=8706d4423ae989e16da7a20ed583b1aac7208ceec954797a3591b50ab99e24a2 server_ip=154.12.235.41
[Sep 18 10:26:54.402]  INFO app: Found new nft-collection-act ticket collection_act_txid=fccba4c516a492e3065f610e06fb3d83e2fa88ad14e26cdf978e49e1b96f9295 collection_reg_txid=c2155c0256bfba069f494a29d65050ebca665ae1a5cab22dac7fe3fd4b3c44f6 server_ip=154.12.235.41
[Sep 18 10:26:54.404]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=c2155c0256bfba069f494a29d65050ebca665ae1a5cab22dac7fe3fd4b3c44f6 server_ip=154.12.235.41
[Sep 18 10:26:54.404]  INFO app: collection already exist in database, skipping collection_reg_txid=c2155c0256bfba069f494a29d65050ebca665ae1a5cab22dac7fe3fd4b3c44f6 server_ip=154.12.235.41
[Sep 18 10:26:54.404]  INFO app: Found new nft-collection-act ticket collection_act_txid=f6c33fbaf50048892ff22135b359fb4a673d64e06a3b45279652ff3b1edd11ef collection_reg_txid=ee06b690a69279cdc743d76867a64ca12bed12bb368c9d4eb4051cd343461abe server_ip=154.12.235.41
[Sep 18 10:26:54.406]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=ee06b690a69279cdc743d76867a64ca12bed12bb368c9d4eb4051cd343461abe server_ip=154.12.235.41
[Sep 18 10:26:54.406]  INFO app: collection already exist in database, skipping collection_reg_txid=ee06b690a69279cdc743d76867a64ca12bed12bb368c9d4eb4051cd343461abe server_ip=154.12.235.41
[Sep 18 10:26:54.406]  INFO app: Found new nft-collection-act ticket collection_act_txid=a9df4a40b29ccfa3f71689d65af89d9d016b9541e291503389eb93c83dfdf38c collection_reg_txid=01e4086452fdc0fa66738722a43d3c4ba53497e149db7d2d993d71252decfe4c server_ip=154.12.235.41
[Sep 18 10:26:54.407]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=01e4086452fdc0fa66738722a43d3c4ba53497e149db7d2d993d71252decfe4c server_ip=154.12.235.41
[Sep 18 10:26:54.407]  INFO app: collection already exist in database, skipping collection_reg_txid=01e4086452fdc0fa66738722a43d3c4ba53497e149db7d2d993d71252decfe4c server_ip=154.12.235.41
[Sep 18 10:26:54.407]  INFO app: Found new nft-collection-act ticket collection_act_txid=8c7c194da66282c3e00a5327731e52f448c0e91eaecbd9deddfb33d0d4b82c5a collection_reg_txid=a1a7653f5beaa45c65fb159d702dafd15bf32f8928cd75fe5147e239ec5a458e server_ip=154.12.235.41
[Sep 18 10:26:54.409]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=a1a7653f5beaa45c65fb159d702dafd15bf32f8928cd75fe5147e239ec5a458e server_ip=154.12.235.41
[Sep 18 10:26:54.409]  INFO app: collection already exist in database, skipping collection_reg_txid=a1a7653f5beaa45c65fb159d702dafd15bf32f8928cd75fe5147e239ec5a458e server_ip=154.12.235.41
[Sep 18 10:26:54.409]  INFO app: Found new nft-collection-act ticket collection_act_txid=85f4b50cfec43629211933b3e1ca31b599440286c5292f77fe326309daa75012 collection_reg_txid=f20e86404f0572170e112f6d9048fb3335d41281e4e889de6ca93b1e3e40618b server_ip=154.12.235.41
[Sep 18 10:26:54.411]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=f20e86404f0572170e112f6d9048fb3335d41281e4e889de6ca93b1e3e40618b server_ip=154.12.235.41
[Sep 18 10:26:54.411]  INFO app: collection already exist in database, skipping collection_reg_txid=f20e86404f0572170e112f6d9048fb3335d41281e4e889de6ca93b1e3e40618b server_ip=154.12.235.41
[Sep 18 10:26:54.411]  INFO app: Found new nft-collection-act ticket collection_act_txid=fdb2044d887b997dbd6e5494ea6e5d74a4eb47fb3661cfe36d520abbb6802d2f collection_reg_txid=a84b648afc98a9c0a225718f8e0c6bf635753d12619d3a811f04228599fe126f server_ip=154.12.235.41
[Sep 18 10:26:54.412]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=a84b648afc98a9c0a225718f8e0c6bf635753d12619d3a811f04228599fe126f server_ip=154.12.235.41
[Sep 18 10:26:54.412]  INFO app: collection already exist in database, skipping collection_reg_txid=a84b648afc98a9c0a225718f8e0c6bf635753d12619d3a811f04228599fe126f server_ip=154.12.235.41
[Sep 18 10:26:54.412]  INFO app: Found new nft-collection-act ticket collection_act_txid=279a9916b21a9e28f7838dca205b02b0f623c2a3aeb2cddc36a1565dc77b9803 collection_reg_txid=bc3e3a5769081cad0989a02e6c159e46249b6331d0329148359dd44bc9627b5c server_ip=154.12.235.41
[Sep 18 10:26:54.413]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=bc3e3a5769081cad0989a02e6c159e46249b6331d0329148359dd44bc9627b5c server_ip=154.12.235.41
[Sep 18 10:26:54.414]  INFO app: collection already exist in database, skipping collection_reg_txid=bc3e3a5769081cad0989a02e6c159e46249b6331d0329148359dd44bc9627b5c server_ip=154.12.235.41
[Sep 18 10:26:54.414]  INFO app: Found new nft-collection-act ticket collection_act_txid=da9e5282ae834584bbf75cc931fae2522e3a79b7870f5a44484493160335ffbe collection_reg_txid=5b5854665bd9ab87652cc43d521b70a8ebefbf1a6afe944bcb86b191623d7bd8 server_ip=154.12.235.41
[Sep 18 10:26:54.416]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=5b5854665bd9ab87652cc43d521b70a8ebefbf1a6afe944bcb86b191623d7bd8 server_ip=154.12.235.41
[Sep 18 10:26:54.416]  INFO app: collection already exist in database, skipping collection_reg_txid=5b5854665bd9ab87652cc43d521b70a8ebefbf1a6afe944bcb86b191623d7bd8 server_ip=154.12.235.41
[Sep 18 10:26:54.416]  INFO app: Found new nft-collection-act ticket collection_act_txid=7a56ac317b996a6240ec44f908231a759b47ff26b366a252e5d05094dbc56101 collection_reg_txid=17af76178570c47f6947382a145d3da47fd591bc163abb70acb0f4629ab5eb21 server_ip=154.12.235.41
[Sep 18 10:26:54.418]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=17af76178570c47f6947382a145d3da47fd591bc163abb70acb0f4629ab5eb21 server_ip=154.12.235.41
[Sep 18 10:26:54.418]  INFO app: collection already exist in database, skipping collection_reg_txid=17af76178570c47f6947382a145d3da47fd591bc163abb70acb0f4629ab5eb21 server_ip=154.12.235.41
[Sep 18 10:26:54.418]  INFO app: Found new nft-collection-act ticket collection_act_txid=abe0029ca88820bda228468cbf556b7f8ec45583b432fbf5095081347435ee29 collection_reg_txid=365889bff2eb96aae8e7638728212ae824bbf32b69ffdd7c4d0291571e563200 server_ip=154.12.235.41
[Sep 18 10:26:54.420]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=365889bff2eb96aae8e7638728212ae824bbf32b69ffdd7c4d0291571e563200 server_ip=154.12.235.41
[Sep 18 10:26:54.420]  INFO app: collection already exist in database, skipping collection_reg_txid=365889bff2eb96aae8e7638728212ae824bbf32b69ffdd7c4d0291571e563200 server_ip=154.12.235.41
[Sep 18 10:26:54.420]  INFO app: Found new nft-collection-act ticket collection_act_txid=146c28984f7dcaa18b325e388e59bc0e2919a3d70e70373982dac7bc84853d37 collection_reg_txid=fccaac3fdbb29c59b8e2ec7d1ae56140668b1420764da354c64358f73e40fcea server_ip=154.12.235.41
[Sep 18 10:26:54.422]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=fccaac3fdbb29c59b8e2ec7d1ae56140668b1420764da354c64358f73e40fcea server_ip=154.12.235.41
[Sep 18 10:26:54.422]  INFO app: collection already exist in database, skipping collection_reg_txid=fccaac3fdbb29c59b8e2ec7d1ae56140668b1420764da354c64358f73e40fcea server_ip=154.12.235.41
[Sep 18 10:26:54.422]  INFO app: Found new nft-collection-act ticket collection_act_txid=9de799c9f20f17b95ee18ec863c4b5bc34f65fbeb1bd69fea9f3f97d5920b2a3 collection_reg_txid=985cfe2e56b1d6531980a885f61f7f95e4f7e13e7ceede4b724789e211c23709 server_ip=154.12.235.41
[Sep 18 10:26:54.424]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=985cfe2e56b1d6531980a885f61f7f95e4f7e13e7ceede4b724789e211c23709 server_ip=154.12.235.41
[Sep 18 10:26:54.424]  INFO app: collection already exist in database, skipping collection_reg_txid=985cfe2e56b1d6531980a885f61f7f95e4f7e13e7ceede4b724789e211c23709 server_ip=154.12.235.41
[Sep 18 10:26:54.424]  INFO app: Found new nft-collection-act ticket collection_act_txid=53d5536102f1af0e175456e1edc1ac522da37d6ba2a6903e80f17d3dfefda83e collection_reg_txid=61bc8c5a2d461a1cd6480aef1a58383391c89309b3f249ee8bd36af66504d313 server_ip=154.12.235.41
[Sep 18 10:26:54.425]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=61bc8c5a2d461a1cd6480aef1a58383391c89309b3f249ee8bd36af66504d313 server_ip=154.12.235.41
[Sep 18 10:26:54.425]  INFO app: collection already exist in database, skipping collection_reg_txid=61bc8c5a2d461a1cd6480aef1a58383391c89309b3f249ee8bd36af66504d313 server_ip=154.12.235.41
[Sep 18 10:26:54.425]  INFO app: Found new nft-collection-act ticket collection_act_txid=a2083561bc47fe325029fb1b983ebe354a11ede445de8819922c2a0b7e72ab61 collection_reg_txid=7ed32b5f4d4167a82c2415857c818575a6dbc17a15a309868baa4f4ecbce9c1e server_ip=154.12.235.41
[Sep 18 10:26:54.427]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=7ed32b5f4d4167a82c2415857c818575a6dbc17a15a309868baa4f4ecbce9c1e server_ip=154.12.235.41
[Sep 18 10:26:54.427]  INFO app: collection already exist in database, skipping collection_reg_txid=7ed32b5f4d4167a82c2415857c818575a6dbc17a15a309868baa4f4ecbce9c1e server_ip=154.12.235.41
[Sep 18 10:26:54.427]  INFO app: Found new nft-collection-act ticket collection_act_txid=41700124a293efa05a4ea35858d364bb6f5bfa544efa0d8657b374b4118b00ed collection_reg_txid=018ee91bb14bf6e386f97faa4dba1eef5175e88c3bdc35f6fac5c3c94d4ea2cd server_ip=154.12.235.41
[Sep 18 10:26:54.429]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=018ee91bb14bf6e386f97faa4dba1eef5175e88c3bdc35f6fac5c3c94d4ea2cd server_ip=154.12.235.41
[Sep 18 10:26:54.429]  INFO app: collection already exist in database, skipping collection_reg_txid=018ee91bb14bf6e386f97faa4dba1eef5175e88c3bdc35f6fac5c3c94d4ea2cd server_ip=154.12.235.41
[Sep 18 10:26:54.429]  INFO app: Found new nft-collection-act ticket collection_act_txid=c642f483b2495834ac1355b181afd7c58438f6596b555a4b1de772192f4c759a collection_reg_txid=5a0d48811f81d5a9336696687331acf75fcf2f449a2603e5ccc9365992ad34bc server_ip=154.12.235.41
[Sep 18 10:26:54.432]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=5a0d48811f81d5a9336696687331acf75fcf2f449a2603e5ccc9365992ad34bc server_ip=154.12.235.41
[Sep 18 10:26:54.432]  INFO app: collection already exist in database, skipping collection_reg_txid=5a0d48811f81d5a9336696687331acf75fcf2f449a2603e5ccc9365992ad34bc server_ip=154.12.235.41
[Sep 18 10:26:54.432]  INFO app: Found new nft-collection-act ticket collection_act_txid=44cab8f81f50f399729d19d29c23358a5fb27206a737681223da55fcd8c6bc9d collection_reg_txid=b9b9b3f7888b66ea49411c438eadd41caf5d30f4a2937d87931dd84d12511628 server_ip=154.12.235.41
[Sep 18 10:26:54.434]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=b9b9b3f7888b66ea49411c438eadd41caf5d30f4a2937d87931dd84d12511628 server_ip=154.12.235.41
[Sep 18 10:26:54.434]  INFO app: collection already exist in database, skipping collection_reg_txid=b9b9b3f7888b66ea49411c438eadd41caf5d30f4a2937d87931dd84d12511628 server_ip=154.12.235.41
[Sep 18 10:26:54.434]  INFO app: Found new nft-collection-act ticket collection_act_txid=8432444f4889d8db6dde84b750c7715032b50d1a4990ab8d6542283734c1595c collection_reg_txid=03d9b3fb3e91a8c4989d8a8da6166d3348ab9541c6a79943fd75155a2447d79d server_ip=154.12.235.41
[Sep 18 10:26:54.436]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=03d9b3fb3e91a8c4989d8a8da6166d3348ab9541c6a79943fd75155a2447d79d server_ip=154.12.235.41
[Sep 18 10:26:54.436]  INFO app: collection already exist in database, skipping collection_reg_txid=03d9b3fb3e91a8c4989d8a8da6166d3348ab9541c6a79943fd75155a2447d79d server_ip=154.12.235.41
[Sep 18 10:26:54.436]  INFO app: Found new nft-collection-act ticket collection_act_txid=af375df8fe18cf88414f8e21bb15092625894de23ead450877e0790706db401c collection_reg_txid=30551d47de8de2a9092db28a1cff089d2c20cbde1c294a088943e8986cca3f23 server_ip=154.12.235.41
[Sep 18 10:26:54.438]  INFO app: Found reg ticket for nft-collection-act ticket collection_reg_txid=30551d47de8de2a9092db28a1cff089d2c20cbde1c294a088943e8986cca3f23 server_ip=154.12.235.41
[Sep 18 10:26:54.438]  INFO app: collection already exist in database, skipping collection_reg_txid=30551d47de8de2a9092db28a1cff089d2c20cbde1c294a088943e8986cca3f23 server_ip=154.12.235.41
[Sep 18 10:26:54.626]  INFO app: Sense tickets retrieved count=3635 latest-sense-block-height=0 server_ip=154.12.235.41
[Sep 18 10:26:54.626]  INFO app: Found sense activation ticket height=265858 server_ip=154.12.235.41 txid=0138a88c9f83eb1ec2881a0f240d63e438a2e513415c73e5ed8852d8aa53b94a
[Sep 18 10:26:54.630]  INFO app: Found sense activation ticket height=266853 server_ip=154.12.235.41 txid=74c1714fe5d2f5be8d3210c157572a72e11c19cca33a03dcffb22447a2fa797c
[Sep 18 10:26:54.632]  INFO app: Found valid sense activation ticket act-txid=74c1714fe5d2f5be8d3210c157572a72e11c19cca33a03dcffb22447a2fa797c height=266853 reg-txid=aa9f7426108fa839f53ad81bf08e8d2d9cf099939dc48314cf6e6712c56e113a server_ip=154.12.235.41
[Sep 18 10:26:54.636]  INFO app: ticket already exists act-txid=74c1714fe5d2f5be8d3210c157572a72e11c19cca33a03dcffb22447a2fa797c reg-txid=aa9f7426108fa839f53ad81bf08e8d2d9cf099939dc48314cf6e6712c56e113a server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.636]  INFO app: Found sense activation ticket height=267370 server_ip=154.12.235.41 txid=5dbcc01bc45276d37420b9e23de786658d11589a7f671eefec54d16432f7bf2e
[Sep 18 10:26:54.638]  INFO app: Found sense activation ticket height=267370 server_ip=154.12.235.41 txid=d770a7cf9cae97f9d9205ccb6c7907f22126c99f1fefc5ff0cf2e819e4fe9775
[Sep 18 10:26:54.640]  INFO app: Found valid sense activation ticket act-txid=d770a7cf9cae97f9d9205ccb6c7907f22126c99f1fefc5ff0cf2e819e4fe9775 height=267370 reg-txid=7cd691400ae0c9a19dec81f4ba673047d9c1327e0499206c10547214683e5012 server_ip=154.12.235.41
[Sep 18 10:26:54.643]  INFO app: ticket already exists act-txid=d770a7cf9cae97f9d9205ccb6c7907f22126c99f1fefc5ff0cf2e819e4fe9775 reg-txid=7cd691400ae0c9a19dec81f4ba673047d9c1327e0499206c10547214683e5012 server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.643]  INFO app: Found sense activation ticket height=267910 server_ip=154.12.235.41 txid=191ccd6eaf67d686cd23c03dc4c474a30d8ef56aa9f5a4598471759ab00b0cc1
[Sep 18 10:26:54.645]  INFO app: Found valid sense activation ticket act-txid=191ccd6eaf67d686cd23c03dc4c474a30d8ef56aa9f5a4598471759ab00b0cc1 height=267910 reg-txid=c66c6f2ba4b2771f9e1b5080f1a142325e8bccfa52069594c2d2376355428433 server_ip=154.12.235.41
[Sep 18 10:26:54.648]  INFO app: ticket already exists act-txid=191ccd6eaf67d686cd23c03dc4c474a30d8ef56aa9f5a4598471759ab00b0cc1 reg-txid=c66c6f2ba4b2771f9e1b5080f1a142325e8bccfa52069594c2d2376355428433 server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.648]  INFO app: Found sense activation ticket height=267933 server_ip=154.12.235.41 txid=30ce468609b86f9efea3a77b994f692df93a9bbf97a2b29da299fdf2cd7f92bf
[Sep 18 10:26:54.649]  INFO app: Found valid sense activation ticket act-txid=30ce468609b86f9efea3a77b994f692df93a9bbf97a2b29da299fdf2cd7f92bf height=267933 reg-txid=088ac546792877cf2af2f49499c103c456f3e9669bcede3ce9f863cac91ae008 server_ip=154.12.235.41
[Sep 18 10:26:54.653]  INFO app: ticket already exists act-txid=30ce468609b86f9efea3a77b994f692df93a9bbf97a2b29da299fdf2cd7f92bf reg-txid=088ac546792877cf2af2f49499c103c456f3e9669bcede3ce9f863cac91ae008 server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.653]  INFO app: Found sense activation ticket height=267954 server_ip=154.12.235.41 txid=72aa56faf476098373818af2473a47a20e915b93f919cb74d6fbff363660ae9f
[Sep 18 10:26:54.655]  INFO app: Found valid sense activation ticket act-txid=72aa56faf476098373818af2473a47a20e915b93f919cb74d6fbff363660ae9f height=267954 reg-txid=eccb449e00b2c18068ec42bb79185eadc760bcd7a678893e5e7bb8b7d2479cf7 server_ip=154.12.235.41
[Sep 18 10:26:54.659]  INFO app: ticket already exists act-txid=72aa56faf476098373818af2473a47a20e915b93f919cb74d6fbff363660ae9f reg-txid=eccb449e00b2c18068ec42bb79185eadc760bcd7a678893e5e7bb8b7d2479cf7 server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.659]  INFO app: Found sense activation ticket height=268001 server_ip=154.12.235.41 txid=d8650d3b769f8aefcda2ecb0ebf863c2544b86ca8f495b516dd6b860fb5bc585
[Sep 18 10:26:54.661]  INFO app: Found valid sense activation ticket act-txid=d8650d3b769f8aefcda2ecb0ebf863c2544b86ca8f495b516dd6b860fb5bc585 height=268001 reg-txid=838ed32c6f29e4ded1f5790774cfa7e82a3f831eef2e0653c6158c806670a791 server_ip=154.12.235.41
[Sep 18 10:26:54.665]  INFO app: ticket already exists act-txid=d8650d3b769f8aefcda2ecb0ebf863c2544b86ca8f495b516dd6b860fb5bc585 reg-txid=838ed32c6f29e4ded1f5790774cfa7e82a3f831eef2e0653c6158c806670a791 server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.665]  INFO app: Found sense activation ticket height=268125 server_ip=154.12.235.41 txid=410fa11d78394a3828ee8ed2d1995ccdf1d77f26af92d64e506368b4b6090985
[Sep 18 10:26:54.666]  INFO app: Found valid sense activation ticket act-txid=410fa11d78394a3828ee8ed2d1995ccdf1d77f26af92d64e506368b4b6090985 height=268125 reg-txid=b7237be63050786466761e367c2771dac8e082f49548e2fd6783b7f815fdfd99 server_ip=154.12.235.41
[Sep 18 10:26:54.670]  INFO app: ticket already exists act-txid=410fa11d78394a3828ee8ed2d1995ccdf1d77f26af92d64e506368b4b6090985 reg-txid=b7237be63050786466761e367c2771dac8e082f49548e2fd6783b7f815fdfd99 server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.670]  INFO app: Found sense activation ticket height=272114 server_ip=154.12.235.41 txid=cd188dfc60f17dfbb53699eba0091c627e220373b1c168fb1162f8224f9ac7f5
[Sep 18 10:26:54.671]  INFO app: Found valid sense activation ticket act-txid=cd188dfc60f17dfbb53699eba0091c627e220373b1c168fb1162f8224f9ac7f5 height=272114 reg-txid=63963598157b5098b39e7adc15db302fbcf88cd2ac0c62bb9d3547b032a30182 server_ip=154.12.235.41
[Sep 18 10:26:54.675]  INFO app: ticket already exists act-txid=cd188dfc60f17dfbb53699eba0091c627e220373b1c168fb1162f8224f9ac7f5 reg-txid=63963598157b5098b39e7adc15db302fbcf88cd2ac0c62bb9d3547b032a30182 server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.675]  INFO app: Found sense activation ticket height=272461 server_ip=154.12.235.41 txid=b9b64c55ed9dc6e0efe86feecd5cde3e0cf81e7d81595743717d622859af217b
[Sep 18 10:26:54.676]  INFO app: Found valid sense activation ticket act-txid=b9b64c55ed9dc6e0efe86feecd5cde3e0cf81e7d81595743717d622859af217b height=272461 reg-txid=465ecaa9dc58860c2ace1b5cc033ad85f78e95b030f42069a1421f42135d4e76 server_ip=154.12.235.41
[Sep 18 10:26:54.680]  INFO app: ticket already exists act-txid=b9b64c55ed9dc6e0efe86feecd5cde3e0cf81e7d81595743717d622859af217b reg-txid=465ecaa9dc58860c2ace1b5cc033ad85f78e95b030f42069a1421f42135d4e76 server_ip=154.12.235.41 type=SENSE
[Sep 18 10:26:54.680]  INFO app: Found sense activation ticket height=272626 server_ip=154.12.235.41 txid=57f1ef6d6f44e3ddea15590edf65a52c6b755e0dbdaf9fc937e44b5c153c818f
